tweet_id,retweet_count,favorite_count
892420643555336193,7009,33811
892177421306343426,5301,29330
891815181378084864,3481,22049
891689557279858688,7225,36937
891327558926688256,7760,35310
891087950875897856,2602,17811
890971913173991426,1663,10363
890729181411237888,15752,56864
890609185150312448,3620,24522
890240255349198849,6098,27959
890006608113172480,6153,27030
889880896479866881,4166,24567
889665388333682689,8349,42059
889638837579907072,3715,23672
889531135344209921,1881,13351
889278841981685760,4443,22116
888917238123831296,3761,25639
888804989199671297,3535,22463
888554962724278272,2877,17315
888078434458587136,2892,19150
887705289381826560,4533,26625
887517139158093824,9852,40721
887473957103951883,15025,60195
887343217045368832,8815,29589
887101392804085760,4990,26982
886983233522544640,6318,30381
886736880519319552,2631,10501
886680336477933568,3735,19736
886366144734445568,2629,18547
886267009285017600,4,105
886258384151887873,5289,24527
886054160059072513,93,0
885984800019947520,5611,28611
885528943205470208,5327,31602
885518971528720385,3106,18005
885311592912609280,15437,0
885167619883638784,3669,19255
884925521741709313,15024,67284
884876753390489601,4673,24386
884562892145688576,3910,21319
884441805382717440,4790,23868
884247878851493888,16918,63304
884162670584377345,2505,17944
883838122936631299,2861,19173
883482846933004288,8270,40214
883360690899218434,3080,19949
883117836046086144,5533,32517
882992080364220416,3247,20985
882762694511734784,4097,24798
882627270321602560,5062,24600
882268110199369728,9631,39196
882045870035918850,4082,25723
881906580714921986,2855,21444
881666595344535552,8960,44554
881633300179243008,8,113
881536004380872706,13401,43442
881268444196462592,4493,20479
880935762899988482,2333,15051
880872448815771648,3200,18700
880465832366813184,5213,25030
880221127280381952,3466,23673
880095782870896641,3652,24339
879862464715927552,2928,19703
879674319642796034,9,281
879492040517615616,2628,20708
879415818425184262,37455,92864
879376492567855104,2649,14860
879130579576475649,5739,0
879050749262655488,3956,19812
879008229531029506,2241,16781
878776093423087618,3432,17135
878604707211726852,5927,26444
878404777348136964,1077,0
878316110768087041,5527,0
878281511006478336,1077,6779
878057613040115712,5739,37150
877736472329191424,15806,69292
877611172832227328,70,0
877556246731214848,3168,19908
877316821321428993,4347,24154
877201837425926144,4629,23866
876838120628539392,2804,18211
876537666061221889,3974,21050
876484053909872640,2000,16567
876120275196170240,3903,24688
875747767867523072,3582,22111
875144289856114688,4156,19420
875097192612077568,5115,24241
875021211251597312,3972,22546
874680097055178752,3919,24602
874434818259525634,12214,0
874296783580663808,3482,22965
874057562936811520,3377,20117
874012996292530176,8591,30127
873580283840344065,3343,21381
873337748698140672,1331,0
873213775632977920,1331,6322
872967104147763200,4562,24077
872820683541237760,3167,13070
872620804844003328,3067,18328
872486979161796608,7719,36100
872122724285648897,6829,30235
871879754684805121,9248,33114
871762521631449091,2970,17889
871515927908634625,2941,17894
871166179821445120,4894,0
871102520638267392,4681,18551
871032628920680449,3225,20160
870804317367881728,5284,29803
870726314365509632,3,105
870656317836468226,2208,10888
870374049280663552,22753,73966
870308999962521604,3549,19481
870063196459192321,7075,32426
869772420881756160,8697,38016
869702957897576449,5386,25063
869596645499047938,2640,14207
869227993411051520,3201,18135
868880397819494401,12263,57989
868639477480148993,1753,0
868622495443632128,4473,23641
868552278524837888,1753,8972
867900495410671616,3572,21608
867774946302451713,6256,30276
867421006826221569,2116,14348
867072653475098625,101,0
867051520902168576,6788,28723
866720684873056260,4131,17875
866686824827068416,2972,17132
866450705531457537,30210,108907
866334964761202691,12214,46622
866094527597207552,7170,0
865718153858494464,4851,22934
865359393868664832,4292,23614
865006731092295680,6674,25045
864873206498414592,7499,28853
864279568663928832,2584,13074
864197398364647424,7588,26641
863907417377173506,3592,18445
863553081350529029,3634,13688
863471782782697472,2092,0
863432100342583297,4557,21320
863427515083354112,80,1961
863079547188785154,953,7899
863062471531167744,2092,7528
862831371563274240,4460,17218
862722525377298433,3091,15339
862457590147678208,4255,18288
862096992088072192,20012,66322
861383897657036800,9272,32291
861288531465048066,3591,15355
861005113778896900,3339,14996
860981674716409858,1858,0
860924035999428608,679,0
860563773140209665,1858,6725
860524505164394496,4606,21266
860276583193509888,3074,16591
860184849394610176,5127,15023
860177593139703809,26766,0
859924526012018688,3584,17649
859851578198683649,3070,13978
859607811541651456,1365,16844
859196978902773760,26288,80598
859074603037188101,11977,30450
858860390427611136,7085,0
858843525470990336,3027,14129
858471635011153920,4265,19498
858107933456039936,2540,14245
857989990357356544,2267,14498
857746408056729600,9355,30830
857393404942143489,1444,5310
857263160327368704,3982,18257
857214891891077121,16,204
857062103051644929,148,0
857029823797047296,3493,17055
856543823941562368,2550,14844
856526610513747968,1654,10832
856288084350160898,15,488
856282028240666624,5585,25254
855862651834028034,21,303
855860136149123072,853,4409
855857698524602368,1862,10863
855851453814013952,16141,41916
855818117272018944,4817,24290
855459453768019968,7308,27115
855245323840757760,5269,0
855138241867124737,36,0
854732716440526848,5357,20705
854482394044301312,6031,26597
854365224396361728,4155,17213
854120357044912130,6601,29247
854010172552949760,2795,14844
853760880890318849,5118,26105
853639147608842240,8889,31576
853299958564483072,3172,14181
852936405516943360,1790,0
852912242202992640,1602,8258
852672615818899456,1914,13654
852553447878664193,3122,14913
852311364735569921,8888,30387
852226086759018497,6101,18364
852189679701164033,1419,10576
851591660324737024,3127,14975
851464819735769094,6319,22285
851224888060895234,5177,19066
850753642995093505,8092,28180
850380195714523136,2334,12090
850333567704068097,301,3192
850145622816686080,3401,15062
850019790995546112,4378,18800
849776966551130114,6828,27936
849668094696017920,4452,0
849412302885593088,2835,14687
849336543269576704,1695,10565
849051919805034497,7639,39059
848690551926992896,3931,23294
848324959059550208,4159,22857
848213670039564288,646,7547
848212111729840128,2722,15050
847978865427394560,2927,0
847971574464610304,396,0
847962785489326080,4585,21756
847842811428974592,1193,5020
847617282490613760,376,6473
847606175596138505,3095,17374
847251039262605312,3925,18995
847157206088847362,5263,18395
847116187444137987,2881,19895
846874817362120707,3554,18647
846514051647705089,10403,41212
846505985330044928,2765,13091
846153765933735936,8188,29132
846139713627017216,9176,28847
846042936437604353,2593,14836
845812042753855489,7881,27063
845677943972139009,4388,23471
845397057150107648,1622,7094
845306882940190720,4868,21648
845098359547420673,6953,0
844979544864018432,2317,12693
844973813909606400,2860,13948
844580511645339650,2821,15307
844223788422217728,1994,12711
843981021012017153,2701,14137
843856843873095681,4175,19986
843604394117681152,2484,15732
843235543001513987,5428,19999
842846295480000512,3318,14236
842765311967449089,1177,6301
842535590457499648,3188,16941
842163532590374912,5269,22770
842115215311396866,2763,13054
841833993020538882,13604,0
841680585030541313,7170,24066
841439858740625411,3335,11752
841320156043304961,5027,18440
841314665196081154,4243,14765
841077006473256960,4894,21359
840761248237133825,1622,0
840728873075638272,14617,0
840698636975636481,2,165
840696689258311684,891,11500
840632337062862849,1622,8440
840370681858686976,4186,15356
840268004936019968,5228,17928
839990271299457024,2072,12553
839549326359670784,7085,25619
839290600511926273,132,0
839239871831150596,5953,25268
838952994649550848,3667,18401
838921590096166913,1858,10435
838916489579200512,31,0
838831947270979586,10052,0
838561493054533637,1234,10259
838476387338051585,4353,21006
838201503651401729,9220,0
838150277551247360,304,1570
838085839343206401,1,133
838083903487373313,2849,16491
837820167694528512,7170,31878
837482249356513284,408,3614
837471256429613056,2065,12002
837110210464448512,2185,15078
836989968035819520,2119,11968
836753516572119041,4271,18157
836677758902222849,2026,11863
836648853927522308,508,0
836397794269200385,25135,0
836380477523124226,2749,13922
836260088725786625,3987,19981
836001077879255040,3902,17927
835685285446955009,7433,0
835574547218894849,3305,16683
835536468978302976,1547,0
835309094223372289,19204,0
835297930240217089,2747,15453
835264098648616962,1547,7248
835246439529840640,63,1992
835172783151792128,5305,24602
835152434251116546,2764,20980
834931633769889797,1495,10121
834786237630337024,5114,20251
834574053763584002,2317,12828
834477809192075265,9788,0
834458053273591808,1550,9045
834209720923721728,4338,19279
834167344700198914,3371,14857
834089966724603904,1969,9464
834086379323871233,2044,12260
833863086058651648,2215,12646
833826103416520705,3492,17096
833732339549220864,205,0
833722901757046785,3002,19718
833479644947025920,1894,14032
833124694597443584,4452,19008
832998151111966721,2024,12451
832769181346996225,38,0
832757312314028032,3325,15871
832682457690300417,2668,11159
832645525019123713,485,2742
832636094638288896,2567,14922
832397543355072512,2038,11256
832369877331693569,2927,16101
832273440279240704,2149,10667
832215909146226688,5734,0
832215726631055365,8602,0
832088576586297345,2,59
832040443403784192,8838,0
832032802820481025,4308,16798
831939777352105988,5663,22500
831926988323639298,34,319
831911600680497154,5992,25886
831670449226514432,1690,9801
831650051525054464,1790,6690
831552930092285952,2163,8468
831322785565769729,1447,8758
831315979191906304,1039,6182
831309418084069378,2273,11108
